姓名,朝代,生卒年,职称,代表作,著作,简介,影响力
鲁班,春秋,约公元前507年—约公元前444年,匠师/工匠祖师,鲁班锁；云梯；磨；石磨,,春秋时期鲁国工匠，被尊为中国木工、建筑业的祖师爷，发明了锯子、刨子、钻子等木工工具，传说创造了云梯和木鸢。,10
阳城延,汉,生卒年不详（西汉）,将作大匠,未央宫扩建；长安城营建,,西汉建筑官员，曾主持长安城及未央宫营建工程，是西汉时期著名的宫廷建筑主管官员。,5
蒋少游,北魏,生卒年不详（北魏）,将作大匠,洛阳太极殿；洛阳城规划,,北魏著名建筑师，主持迁都洛阳后的都城营建，设计太极殿等宫殿建筑群，为北魏建筑鼎盛时期的代表人物。,6
宇文恺,隋,555年—612年,将作大匠,隋大兴城（长安城）；隋东都洛阳城；仁寿宫,《东都图记》；《明堂图议》；《释疑》,隋朝著名建筑师，主持设计并营建了隋大兴城（即唐长安城），这是中国历史上规划最为严整的都城，面积达84平方公里，其规划思想对日本奈良、京都等城市产生深远影响。,9
阎立德,唐,约593年—656年,将作大匠/工部尚书,唐昭陵营建；翠微宫；玉华宫,,唐代著名建筑师，唐太宗时期的工部尚书，主持营建昭陵等大型皇家建筑工程，与其弟阎立本（著名画家）并称，是唐代建筑与艺术的代表人物。,7
李春,隋,生卒年不详（隋代）,匠师,赵州桥（安济桥）,,隋代著名工匠，设计并主持建造了世界上现存最早的石拱桥——赵州桥（安济桥）。赵州桥建于公元605—617年，净跨37.02米，采用创新的敞肩拱结构，比欧洲同类结构早700余年，是世界桥梁史上的里程碑。,10
喻皓,宋,约920年—约995年,都料匠,开封开宝寺塔（铁塔）；杭州梵天寺木塔,《木经》（三卷，已失传）,北宋初年著名建筑工匠，以精通高层木结构建筑著称，撰写了中国第一部建筑专著《木经》（已失传）。曾主持修建开封开宝寺木塔，采用预应力技巧处理地基沉降，其建筑技艺被同时代文人沈括记录于《梦溪笔谈》中。,9
李诫,宋,1065年—1110年,将作监,辟雍宫；龙德宫；棣华室；五侯府；朱雀门；开封府衙,《营造法式》（三十四卷）；《续山海经》；《琵琶录》；《马经》,北宋著名建筑师和建筑学家，官至将作监（相当于建设部部长）。主持编写《营造法式》，这是中国现存最完整的古代建筑技术规范，涵盖建筑设计、施工技术、材料规格、劳动定额等，是古代建筑史上的划时代巨著。,10
刘秉忠,元,1216年—1274年,太保/中书令,元大都（北京城前身）规划；元上都,《藏春集》,元朝著名政治家和城市规划师，主持规划元大都（今北京城的前身），其规划格局影响了明清北京城的形制，被誉为'北京城的设计师'。,9
也黑迭儿,元,生卒年不详（元代）,将作院使,元大都宫殿群,,元代著名建筑师，元世祖忽必烈时期主持营建元大都宫殿，是元朝宫廷建筑的重要设计者，其工程融合了蒙古、汉、藏等多民族建筑艺术风格。,7
