编号,名称,时代,地址,批次,类别,省份,序号,类型,区县
1-0167-3-007,故宫,明、清,北京市东城区,第一批,皇宫,北京,,,
1-0174-3-014,沈阳故宫,清,辽宁省沈阳市沈河区,第一批,皇宫,辽宁,,,
3-0222-3-022,承德避暑山庄及周围寺庙,清,河北省承德市,第三批,皇宫,河北,,,
6-0851-3-154,西汉南越王宫署遗址,汉,广东省广州市越秀区,第六批,皇宫,广东,,,
1-0191-3-031,颐和园,清,北京市海淀区,第一批,皇宫,北京,,,
1-0192-3-032,天坛,明、清,北京市东城区,第一批,皇宫,北京,,,
3-0207-3-007,平遥古城,明,山西省晋中市平遥县,第三批,官府,山西,,,
3-0210-3-010,孔庙及孔林孔府,汉—清,山东省曲阜市,第三批,官府,山东,,,
5-0391-3-025,南京明故宫遗址,明,江苏省南京市玄武区,第五批,官府,江苏,,,
1-0168-3-008,曲阜孔庙、孔林和孔府,东汉—清,山东省曲阜市,第一批,官府,山东,,,
4-0228-3-009,西递、宏村古村落,明、清,安徽省黟县,第四批,官府,安徽,,,
1-0176-3-016,大同云冈石窟,北魏,山西省大同市云冈区,第一批,官府,山西,,,
4-0223-3-004,开平碉楼,清—民国,广东省开平市,第四批,民居,广东,,,
5-0432-3-066,永定土楼,唐—清,福建省龙岩市永定区,第五批,民居,福建,,,
5-0433-3-067,南靖土楼,明、清,福建省漳州市南靖县,第五批,民居,福建,,,
3-0219-3-019,丽江古城,元、明、清,云南省丽江市,第三批,民居,云南,,,
6-0916-3-219,乔家大院,清,山西省晋中市祁县,第六批,民居,山西,,,
4-0230-3-011,宏村古村落,明、清,安徽省黟县,第四批,民居,安徽,,,
5-0460-3-094,哈尼族民居,清—民国,云南省红河州元阳县,第五批,民居,云南,,,
7-1296-3-020,渠县汉阙,东汉,四川省达州市渠县,第七批,民居,四川,,,
6-0914-3-217,王家大院,明、清,山西省晋中市灵石县,第六批,民居,山西,,,
4-0236-3-017,徽州古建筑群,明、清,安徽省黄山市歙县,第四批,民居,安徽,,,
5-0439-3-073,泸沽湖摩梭人木楞房,清—民国,云南省丽江市宁蒗县,第五批,民居,云南,,,
1-0118-3-007,赵州桥（安济桥）,隋,河北省石家庄市赵县,第一批,桥梁,河北,,,
3-0232-3-032,卢沟桥,金,北京市丰台区,第三批,桥梁,北京,,,
5-0463-3-097,安平桥（五里桥）,宋,福建省泉州市晋江市,第一批,桥梁,福建,,,
6-0923-3-226,广济桥,宋—明,广东省潮州市,第六批,桥梁,广东,,,
5-0480-3-114,洛阳桥,宋,福建省泉州市洛江区,第五批,桥梁,福建,,,
6-0924-3-227,程阳风雨桥,民国,广西壮族自治区柳州市三江县,第六批,桥梁,广西,,,
3-0233-3-033,铁索桥（泸定桥）,清,四川省甘孜州泸定县,第三批,桥梁,四川,,,
7-1385-3-109,侯家桥,清,浙江省衢州市常山县,第七批,桥梁,浙江,,,
5-0501-3-135,晋祠鱼沼飞梁,北宋,山西省太原市晋源区,第一批,桥梁,山西,,,
6-0925-3-228,十字街木拱廊桥,清,福建省宁德市寿宁县,第六批,桥梁,福建,,,
,丁房阙~无铭阙,汉,,第五批,,,12,古建筑,忠  县
,张桓侯庙,清,,第五批,,,13,古建筑,云阳县
,石宝寨,明、清,,第五批,,,14,古建筑,忠  县
,白帝城,汉至清,,第六批,,,15,古建筑,奉节县
,湖广会馆,清,,第六批,,,16,古建筑,渝中区
,独柏寺正殿,元,,第七批,,,17,古建筑,潼南区
,重庆古城墙,明,,第七批,,,18,古建筑,渝中区
,彭氏宗祠,清,,第七批,,,19,古建筑,云阳县
,双桂堂,清,,第七批,,,20,古建筑,梁平区
,湾底谭氏民居,清,,第八批,,,21,古建筑,石柱县
